name,Job Role,CTC,Stipend,Eligible Batch,Eligible Courses,Eligible Branches,Internship Duration,Location,Application Link
Nation With Namo,,,* 1.75L (Fixed- 50k/month + deployment expense- 1.25L),* 2026,"* BTech, Dual Degree, Int MSc",* All | Other Eligibility:* CGPA>=7 | Selection Process:* | 1. Resume Shortlisting | 2. Personal Interview,,,"* https://forms.gle/B61jw73p5NUG3H6F6 | Deadline:* 11:59PM, 12th September 2024 | Note:* | For further information refer to the JD attached."
Decimal Point Analytics,,,,,,,,,
DESIS Ascend Educare mentorship program,,,,"* 2026, 2027","* BTech, MTech, Dual",* All | Eligibility Criteria:* Women Only,,,"* https://www.deshaw.com/forms/OTc0RTc2ODQtNTdERS00QUQ0LUJERDEtRUIwNDkwQkYzN0M4 | Registration Link:* https://forms.gle/rz5tF7TtD1XmXJx29 | Deadline:* 11:59 PM, 13th Sept | Note:* | 1.* Must complete both the | Application and Registration forms. | 2.* Upon completion of the program, students will have the opportunity to participate in pre-placement interviews for Internship/FTE roles, based on business needs and their performance during the six-month mentorship program."
Licious,,,* 40 KPM,* 2026,"* B.Tech, MBA(Operations)","* ALL | Eligibility Criteria:* | 1) CGPA >= 7 | 2) Students from CE,MM,MN, CR, ID, BM, BT, FP who are having a strong background/Work experience in the above mentioned roles are only eligible to fill. | Registration Link:* https://forms.gle/RSiM1tGAGPGgYL9V7 | Application Deadline:* 14th Sept, 11:59 PM",,,
Nation with Namo*,,,,,,,,,
Exceed 3.0,,,,* All,* All,"* All | Team Size:* 3-4 | Levels & Rounds:* | Abstracts Round | Mentor Round | Grand Finale | Prizes:* | Gold Award: INR 100K | Silver Award: INR 75K | Bronze Award: INR 50K | Registration Form:* | https://www.wabtecexceed.hirepro.in/registration.php | Deadline:* 22nd Sept, 2024",,,
Teledge Solutions Pvt. Ltd.,,,,,"* All | Batch:* 2025, 2026 | Venue:* TIIR Auditorium | Note:* | Attendance is mandatory. | Students who fail to be present will face strict consequences, including the possibility of being banned from the remainder of the placement season.",* All,,,
Licious,,,,,,,,,
Nation With Namo,,,,* 2026 | Instructions:* | 1. Login 10 minutes before the mentioned time. | 2. Join via Computer. | 3. It is mandatory for all the registered candidates to join the meeting. Failing to which the candidature will be cancelled. | 4. Attendance will be noted and leaves will be provided.,"* BTech, Dual, Int MSc",* All,,,
Nation with Namo,,,,,,,,,
Nation With Namo,,,,,,,,,
Decimal Point Analytics,,,,,,,,,
Accenture,,,,,,,,,
Nation with Namo,,,,,,,,,
Nation with Namo,,,,,,,,,
AB InBev,,,,* 2026,"* B.Tech, Int Msc","* EC, EI, EE, ME, CH, CE, FP, ID, MM, MA, CY | Date:* 24th Sept | Mode:* Online | Important Note:* | Attendance is mandatory for all. Not attending the PPT will lead to the cancellation of your candidature. Shortlists will be announced immediately after the session, followed by GD and interviews for shortlisted candidates. So, be prepared accordingly. | We will update you about the PPT timings.",,,
AB InBev,,,,,,,,,
AB InBev,,,,,,,,,
ServiceNow,,,,"* 2025, 2026",* All,* All | Date:* 26th September 2024 | Time:* 5:30 PM IST - 6:30 PM IST,,* Virtual on Zoom | Registration Link:* https://talent.servicenow.com/flows/after-hours-2024-no-codelow-code-platforms--empowering-the-budding-technical-developer-yxsgkftvy | Note:* | All eligible students must register for this opportunity to increase the likelihood of ServiceNow visiting our campus this year.,
Luminous Power Technologies,,,,"* 2025, 2026","* B.tech, M.tech, Dual",* All | Prizes:* | 1. Cash prize pool of 3 Lakh. | 2. FTE opportunity with compensation upto 12 LPA. | 3. Internship opportunity with stipend of 50KPM.,,,"* https://forms.gle/R6S4sGChKRSEQMrb6 | Deadline:* 11:59pm,25th Sept | Note:* Apply ASAP keeping in mind the short deadline. Participation in the event will greatly influence Luminous Power Technologies visiting our institute."
TCS R&I,,,,"* 2025, 2026",* All,"* All | Date:* 30th September, 2024 | Time:* 3:45 PM | Venue:* Virtual | Link:* https://teams.microsoft.com/l/meetup-join/19%3ameeting_MjhkOGZjNGYtYmFhZC00NWMwLWEyZDYtMDc4YzQwMTBkNWQz%40thread.v2/0?context=%7B%22Tid%22%3A%22404b1967-6507-45ab-8a6d-7374a3f478be%22%2C%22Oid%22%3A%2222ee56d3-1119-48c1-9675-65c719b98630%22%2C%22IsBroadcastMeeting%22%3Atrue%2C%22role%22%3A%22a%22%7D&btype=a&role=a",,,
Nation With Namo,,,,,,,,,
Dassault Systemes,,,,,"* B.Tech, M.Tech, Dual degree",* All | Registration link:* https://3ds.zoom.us/webinar/register/WN_uG14lQtGQk-v1YArDVmcBw | Meeting ID:* 862 1158 1342 | Passcode:* 085851,,,
Visual Taxonomy,,,,* All,* All,* All | Perks:* | 1st Prize: INR 2 Lakh | 2nd Prize: INR 1.5 Lakh | 3rd Prize: INR 0.5 Lakh | Registration Link:* | https://forms.gle/XQvU9uWfUP7EcLAw5,,,"* https://forms.gle/YeCUat8cPZeahTry8 | Deadline:* 30th October, 2024 | Find more information at: | https://cods-comad.in/attribute-prediction.php | 07/10/24, 14:39 - ~ Abhilash Nayak added +91 63728 89119"
Licious,,,,,,,,,
L'Oréal,,* ₹ 28 LPA for final year students | Registration link:* https://bit.ly/loreal-sustainability-challenge-2024,* ₹ 80K - 1.6L per month for pre-final year,"* 2025, 2026",* All,* All | Team Size:* 3 members (exactly) | Perks:* | All Finalists and Semi-Finalists stand a chance to receive pre-placement interviews (PPIs),,,"* https://forms.gle/mu12hq1SPBfQh9WR8 | Deadline:* 28th October, 11:59 PM | Note:*"
Cisco,,,,,,,,,
Saras AI,,,* 60KPM,* 2026,"* B.Tech, Dual",* All,,* Gurugram | Eligibility:* | No active backlogs and URs | Selection Process:* | Resume Shortlisting | Virtual Assessment | Final Interview,"* https://forms.gle/6BK2tdLEJbqrR1sj7 | Deadline:* 11:59PM, 11th October 2024 | Keep the short Deadline in mind and prepare your CV according to your applied job role."
Saras AI,,,,* 2026,* B.Tech and Dual,"* All | Registration Link:* https://docs.google.com/forms/d/e/1FAIpQLSc2sj0MGDTBcDwEDYF7YctbyrQiYQZ90Bj9i5h4LRpLNod-Ug/viewform | Cracking the ATS Code-2024 will help the students to craft a resume for best ATS score by highlighting the tech skills and understanding employer expectations.* | Deadline:* 11:59PM, 16th October 2024 | Every student applying for this opportunity must fill out the registration form so that they can prepare their resume accordingly.",,,
Cisco,,,,"* 2025, 2026 | Registration Link:* | https://forms.office.com/pages/responsepage.aspx?id=Yq_hWgWVl0CmmsFVPveEDv0b62947PNCq9Qu1rEeqrlURU1URVVFQ0RJRUlWM0xBWTIzUjE0VlNaQS4u&route=shorturl | Deadline:* 10 AM, 15th Oct 2024",* All(Only female candidates),* All,,,
Decimal Point Analytics,,,,,,,,,
L&T Technology Service,,,,"* 2025, 2026",* All,"* All | Registration Link:* https://ltts.techgium.com/ | Unique Institute Code:* ODSUNDE6150463 | Note:* | 1st Prize:* ₹ 10 Lakhs INR | 2nd Prize:* ₹ 5 Lakhs INR | 3rd Prize:* ₹ 3 Lakhs INR | Apart from the awards and prizes for the winners, all the participants presenting in the POC demonstration round of this competition will be called for *Pre-Placement process at LTTS.*",,,
Licious,,,,,,,,,
Energy Transition Hackathon,,,,"* All | Cash Prize:* | Top 12 winners will get a chance to win cash prize of 6 lakhs | 1st Prize - Rs 3 Lakh | 2nd Prize - Rs 2 lakh | 3rd Prize - Rs 1 Lakh | Top performers can get a FTE or internship opportunity.* | Registration Link:* https://hackathon.mercuria.com/india-2024/ | Deadline:* October 21st, 2024",* All,* All,,,
ICICI Bank,,,,,,,,,
FINTECH GLOBAL CENTER PRIVATE LIMITED,* Software Engineer,,* 25 KPM (Remote) | Eligble Batch:* 2026,,* All,"* All | Eligibility Criteria:* CGPA>=7 | Selection Process:* | 1. Pre-Placement Talk | 2. Resume Shortlisting | 3. ⁠Online Test | 4. ⁠Personal Interview | Registration Link:* https://forms.gle/FGxHmPPEcYZZgnKL9 | Application Deadline:* 27th October, 11:59 PM | KEEP A NOTE OF THE SHORT DEADLINE*",,,
FINTECH GLOBAL CENTER PRIVATE LIMITED,,,,"* 2025 & 2026 | Eligible Courses and Branches:* ALL | Instructions for all rounds*: | 1. *Only students who attend the PPT will be considered for the OT today.* | 2. *Keep your camera on at all times with your face visible.* | 3. Use your full name as per your resume (no nicknames). | 4. *Join 5 minutes* early; the host will admit you when ready. | 5. Ensure a stable internet connection and stay in a quiet, distraction-free environment. | 6. Use a laptop or tablet—no mobile login allowed. | 7. Mute audio unless speaking. | 8. Contact your placement coordinator if you have questions.",,,,,
FINTECH GLOBAL,,,,,,,,,
EY Techathon 5.0,,,,"* 2025, 2026",* All,"* All | Rewards:* | 1. Winner – Prizes worth INR 3,00,000 | 2. Runner-Up – Prizes worth INR 2,00,000 | 3. Internship opportunities with EY | 4. Mentoring with EY and industry stalwarts | 5. Participation Certificates | Registration Link:* https://unstop.com/competitions/ey-techathon-50-ey-1153249?ref=E2v1XJqb",,,
Reliance Industries Limited,,,"* Rs. 30,000/- month | Eligible Course* : B.Tech | Eligible Batches* : 2026",,,"* CH, ME, CE, MM, EE, EI, CS | Eligibility Criteria:* | 1.⁠ ⁠A minimum score of 60% in both 10th and 12th standards, and a CGPA of 6.0 or above in graduation. | 2.⁠ ⁠The candidate must:  i. Have no active backlogs.  ii. Complete their engineering degree within 4 years, without any detention. | Perks/Benefits:* | 1. Travel expenses upto 2nd AC Rail fare/ or equivalent for shortest route available from Home/College to the allocated site | 2. Accommodation will be provided depending on the Business location | Duration* - 8 weeks, i.e. In the month of May – July",,,"* https://forms.gle/CnwNG9RCNKRgHsXh6 | Application Deadline:* 3rd Nov 2024, 11:59 PM"
Jazzee Technologies,,,,"* 2025, 2026 | Registration Form:* | https://forms.gle/WUZNpo9QGLozcuZp8 | Deadline:* 11:59 PM, 6th Nov 2024",* All,* All,,,
Skilled Sapiens,,* 10 LPA + 1 LPA for each year of experience (for prior *work experience students* ),* 10 KPM (Work from home),* 2026,"* BTech, MTech, Dual, Int. MSc, MBA, MA",* All | Selection Process:* | 1. Resume Shortlisting | 2. Personal Interview,,,"* https://forms.gle/6Kg4G475P3NwJKfj6 | Deadline:* 11:59 PM, 10th Nov."
Bajaj Auto credit Limited(BACL),,,"* 29,500 KPM",* 2026,"* B.Tech, Dual, Int. MSc.","* All | Eligibility:* | No active backlogs. | Registration Form:* https://forms.gle/NQDeuNAnZBMWcHXv8 | Deadline:* 11:59 AM, 7th November 2024",,,
Saint Gobain,,,,,,,,,
ICICI BANK,,,,,,,,,
Reliance Industries Limited,,,,,,,,,
Reliance Industries Limited,,,,,,,,,
Reliance Industries Limited,,,,,,,,,
Fintech Global Center,,,,,,,,,
Husk Power System,,,,* 2026,"* B.Tech, Dual | Eligible Branches* : ALL | Eligibility* : No Active Backlogs",,,,"* https://forms.gle/dYRY9wrqd9XyeUWc6 | Deadline* : 11 AM , 13th November 2024 | Note:* Keep a note of the short deadline"
Hero MotoCorp Ltd,,,,* 2026,"* B. Tech | Eligible Branches* : ME, CH, CE, CS, ID, MM | Eligibility* : CGPA >= 6",,,,"* https://forms.gle/GDqFMfbB54cqep1C6 | Deadline* : 11:59 PM , 13th November 2024 (Today) | Note:* _Keep a note of the short deadline_"
Husk Power System,,,,,,,,,
Cairn Oil & Gas,,,"* Rs. 30,000/- month | Eligible Course* : B.Tech | Eligible Batches* : 2026",,,"* ME, MM | Duration* 2 Months",,,"* https://forms.gle/2pmGkfnTA3YYUv4n9 | Application Deadline:* 18th Nov 11:59 PM, 2024"
Cairn Oil & Gas,,,"* Rs. 30,000/- month | Eligible Course* : B.Tech | Eligible Batches* : 2026",,,"* ME, MM | Duration* 2 Months",,,"* https://forms.gle/2pmGkfnTA3YYUv4n9 | Application Deadline:* 18th Nov 11:59 PM, 2024"
Cairn Oil & Gas,,,,,,,,,
Cairn Oil and Gas,,,,,,,,,
Saras AI,,,,,,,,,
Fractal Analytics,,,"* 30,000",* 2026,"* B.Tech, Dual",* All,,"* Bangalore | Duration:* 2 months (May/June) | Eligibility Criteria:* | CGPA >= 7 | ⁠No active Backlog | Registration Link:* https://forms.gle/wzPXxmTPUD9nijC27 | Deadline:* 03:00 PM, 05 December",
Fractal Analytics,,,,,,,,,
Algo University,,,1. 80k- 1LPM | 2. 30KPM | CTC on PPO conversion:* 10- 22 LPA,* 2026,"* BTech, Dual","* All | Form 1:* https://ng.tinyc.co/graphs-camp-nitrkl | Form 2:* https://forms.gle/qdk2kRbYYjEHofTX7 | Deadline:*  11:59 PM ,6th Dec | Fill both the Form 1 and 2, else your candidature will be cancelled. | Refer to the JDs for more details.",,,
Fractal Analytics,,,,,,,,,
Fractal Analytics,,,,,,,,,
Fractal Analytics,,,,,,,,,
Fractal Analytics,,,,,,,,,
Skilled Sapiens,,,,,,,,,
Bajaj Auto credit Ltd,,,,,,,,,
Fractal Analytics,,,,,,,,,
Skilled Sapiens,,,,,,,,,
AlgoUniversity,,,,,,,,,
Fractal Analytics,,,,,,,,,
Skilled Sapiens,,,,,,,,,
Nation Building Case Study Competition,,,,"* 2025, 2026, 2027 | Prizes:* Rs 18Lakh (Placement and Internship opportunities, Cash Prizes, Macbooks, iPads, and merchandise.) | Webinar Registration Link:* https://docs.google.com/forms/d/e/1FAIpQLSdvVTDPpKHslzonlNwMbQTLzhEbJs9nz5S1BlbECmYdqJ17DA/viewform | Webinar Link:* https://inverv.zoom.us/j/7777492485?pwd=eHNFN002RXlQWXpjTm9DcjZZM0s2QT09&_x_zm_rtaid=w5nKpmRYRNaLjqCYKL38wg.1732519058112.84cb487ff73dec1b51da4acbf1ae6fa1&_x_zm_rhtaid=111#success | Passcode:* 489268 | Date:* 11th December 2024 | Time:* 4:00PM- 5:00PM | Deadline:* 11:59AM, 11th December | 2. All the students should rename themselves as Name_NITR | 3. Keep the camera on throughout the presentation and interact with the team. | 4. Register yourself at the portal, keep the short deadline in mind.",* BTech,* All,,,
Nation Building Case Study Competition,,,,"* 2025, 2026, 2027 | Prizes:* Rs 18Lakh (Placement and Internship opportunities, Cash Prizes, Macbooks, iPads, and merchandise.) | Website Registration Link:* www.nationbuildingindia.org",* BTech,* All,,,"* https://forms.gle/8Ctyy6SxsL8JoGMv5 | Deadline:* 11:59PM, 12th December"
Jindal Stainless Limited (JSL),,,* 25 KPM,* 2026,* B.Tech,"* EE, ME, MM",,* PAN India | Eligibility:* | 65% or equivalent CGPA in 10th and 12th. | No active backlogs and URs | CGPA should be greater than or equal to 6.5 | Should not have more than 1 year gap between two consecutive academics | Selection Process:* | Aptitude Test | Domain knowledge Test | Group Discussion | Technical Interview,"* https://docs.google.com/forms/d/e/1FAIpQLSfnv45bI9dfDkoHHYKvuO-kHXaFbF5OD_qrRLrW9SB4doc8jQ/viewform | Registration Link:* https://forms.gle/2PnqdBDTXLmVV8KB7 | Deadline:* 11:59PM, 13th December 2024 | Keep the short Deadline in mind and fill both the forms to become eligible for this opportunity. <This message was edited>"
Fractal Analytics,,,,,,,,,
Jiyonwall,,,,,"* B.Tech, Dual, Int. MSc., B.Arch, MBA","* All | Registration Link:* https://forms.gle/tNK21UdhsK8vsRJY6 | Deadline:* 11:59 PM, 14th December 2024 | Keep the short deadline in mind",,,
JSL,,,,,,,,,
CognitiveView,,,"* 15-20K(Performance Based) | Deadline:* 18th December, 2024, 11:59 PM | Registration Link:* https://forms.gle/poKHRsGBoAX6RqFX7 | Note* | 1. There will be resume shortlisting before the interviews so all the candidates must take into consideration relevant skills and experiences for their resume. <This message was edited>",* 2026,"* B. Tech, Dual,  M. Tech, Int M. Sc.",* All,,,
Amdocs,,,,"* 2025,2026,2027","* B.Tech., M.Tech.",* All | Process:* | 1. Programming Round | 2. Ideation and Prototype Submission Round | 3. Onsite Presentation Round | Prizes:* | 1. Winner - 1 lakh | 2. 1st Runner Up - 60k | 3. 2nd Runner Up - 25k | Registration Link:* https://www.hackerearth.com/challenges/new/competitive/amdocs-genai-graduate-hackathon-2024/,,,"* https://forms.gle/teqRTcu6bXXm6Y1t7 | Deadline:* 11:59 PM, Dec 29, 2024"
Amdocs,,,,"* 2025, 2026, 2027","* B.Tech., M.Tech.","* All | Date:* 20th Dec, 2024 | Time:* 5:30 PM | Link:* https://hackerearth.zoom.us/j/89400193231",,,
JSL,,,,,,,,,
Edu-versity,* Business Development Executive,,"* 30 KPM (Rs. 15,000 Fixed + Rs. 15,000 Incentives) | Duration:* 2 Months",* 2026,"* B. Tech, M. Tech, Dual, Int. MSc., MSc., MBA, MA, B. Arch",* All,,"* Bangalore | Registration Form:* | https://forms.gle/rG2Yn7VJTmJ8j9KA8 | Deadline:* 11:00 AM, 23rd December 2024",
Jiyonwall Private Limited,,,,,,,,,
Placement Registration,,,,,,,,,
Placement Committee,,,,,,,,,
Godrej Consumer Products,,,* 24 KPM,* 2026,"* B.Tech, Dual degree",* All | Eligibility:* | No active backlogs and URs,,* Remote (18 to 20 hours per week) | Selection Process:* | Resume Shortlisting | Technical Interview,"* https://forms.gle/Urfq9bgBi4t4phmd9 | Deadline:* 11:59PM, 6th January 2025 | 1. Proficiency in Power BI dashboard designing and strong understanding of data visualization will be adding a strong point to the Resume. | 2. Familiarization with SQL and Cloud for data extraction and integration will be required. | 3. Knowledge on supply chain concepts and complex data analysis calculations will be a plus. | 4. Keep the short Deadline in mind and prepare your Resume by referring to the provided JD."
Jiyonwall Pvt. Ltd,,,,,,,,,
Godrej Consumer Products,,,,,,,,,"* https://forms.gle/coeogVmwWXLm22Fi8 | Deadline:* 11:59PM, 6th January 2025 (Today)"
Piramal Foundation,,,,"* 2025, 2026",* All,"* All | Note: | 1. Everyone is advised to attend the session. Attendance will be recorded. | 2. Everyone must be dressed in formal attire and reach the venue sharp on time. Leaves would be provided for classes during the session, if necessary.",,,
Bosch Global Software Technologies,,,,,,,,,
Placement Committee 2025-26,,,,,,,,,
Placement / Internship Manual,,,,,,,,,
Godrej Consumer Products,,,,,,,,,
Placement Committee,,,,,,,,,
Godrej Consumer Products,,,,,,,,,
Road Safety Hackathon 2024,,,,,,,,,
Bureau of Indian Standards (BIS),,,,,,,,,
Jazzee Technologies,,,* 10-25 KPM,* 2026,* All,* All,,* Bhubaneswar,"* https://forms.gle/eiGRdsUwrGGhNjDKA | Deadline:* 11:59 PM, 30th January 2025 | Note:* | Candidates must go through the assignment docx attached below. | Further rounds will be considered based on the performance in the assignment. | Assignment:* | https://docs.google.com/document/d/1PFkfBFCoUS-WSJDHrdRGQxKhX5_3ByUBHIu86U-Q0kk/edit?tab=t.0#heading=h.g7zni03jls6s"
Differently Abled Candidates,,,,,,,,,
BNY,,,,"* 2025,2026,2027 | Eligibility:* Female Only | Prizes and Rewards:* | Winner - GV worth INR 75,000 | Runners Up - GV worth INR 45,000 each | Second Runners Up - GV worth INR 25,000 each | 10 Consolation Prizes: GV worth INR 10,000 each | Opportunity to secure a PPI | Registration Link:* https://tinyurl.com/bnycodedivas2025",* B.Tech,* All,,,"* https://forms.gle/4anCvJTpqasiLf919 | Deadline:* 20th Feb 2025,11:59 AM | NOTE:*"
Reliance Industries Limited,,,,,,,,,
Swiss Re,,,* 50 KPM,"* 2026 | Registration Link:* https://forms.gle/VDAHNwMs8YtBmigR7 | Deadline:* 11:59 PM, 29th Jan 2025",* B.Tech,"* All | Eligibilty Criteria:* | 1. CGPA>= 6.0 | 2. 10th, 12th>= 80%",,* Bangalore/Hyderabad,
Skilled Sapients,,,,,,,,,
Swiss Re,,,,,,,,,
Swiss Re,,,,,,,,,
Swiss Re,,,,,,,,,
Swiss Re,,,,,,,,,
HBCSE,,* 8 LPA | Duration:* 8 Weeks,* 15 KPM + Accomodation,* 2026,"* B. Tech, M. Tech, Dual, Int MSc, MSc","* All | Registration Form:* | https://forms.gle/48ZH7j21QmiEgasG7 | Deadline:* 11:59 PM, 5th February 2025 | Note:*",,,
Swiss Re,,,,,,,,,
TCS R&I,,,"1. BTech: 20 KPM | 2. MTech, Dual: 20 KPM | CTC (on conversion):* | 1. BTech: 9 LPA | 2. MTech, Dual: 11.5 LPA",* 2026,"* BTech, MTech, Dual",* All | Eligibility Criteria:* | CGPA >= 7.5 | No active backlogs,,,"* https://forms.gle/zXqFxxHs464RZpw58 | Deadline:* 11:59 PM, 8th Feb."
Bosch Global Software Technologies,,,,,,,,,
Jazzee Technologies,,,,,,,,,
Swiss Re,,,,,,,,,
Publicis Sapient,,,,* 2026,"* B Tech, Int. MSc., Dual","* All | Eligibility Criteria:* | PwD Only | Registration Form:* https://forms.gle/ULS2ukZyjS2xaewi9 | Deadline:* February 20 2025, 11:59 *PM*(Today) | Refer to the JD attached. | Keep in mind the short deadline.",,,
Jiyonwall Pvt. Ltd,,,,,,,,,
Helium Consulting,,,* 10 KPM,* 2026,* B. Tech,"* All | Eligibility Criteria:* | 1. 10th & 12th >= 80% | 2. CGPA >= 7.5 | Registration Form:* | https://forms.gle/xao8atzmoe1D83pr5 | Deadline:* 11:59 PM, 4th March 2025 | Note:*",* 3 Months,* Remote (Work From Home),
Pixel Compute,,,* 15KPM - 20 KPM,* 2026,"* B.Tech, Dual Degree",* All | Eligibility:* | CGPA>=7 | No active backlogs and URs,,"* Bhubaneswar, Odisha | Recruitment Process:* | Pre-placement Talk (45 mins) | Resume Shortlisting | Online Test (DSA & MCQs) (2 - 3 hours) | Interviews","* https://forms.gle/rc9PRGNX6dSE3EYC8 | Deadline:* 11:59PM, 6th March 2025 (Today) | For Full Stack role proficiency in javascript and ReactJs will be preffered. | keep the short deadline in mind"
Reliance Industries Limited,,,,,,,,,
Edu-versity,,,,,,,,,
RAAM Group,,,,,,,,,
Auro Digital incorporation,,,* 15 KPM (Remote),* 2026,"* B.Tech, Dual Degree, Integrated M.Sc",* All | Eligibility:* | No active backlogs and URs | Recruitment Process:* | Resume Shortlisting | Online Test (Aptitude and Technical) | Personal Interviews,,,"* https://forms.gle/xvACuvDKQYEUZbSr9 | Deadline:* 3:00PM, 12th March 2025 (Today) | keep the short deadline in mind <This message was edited>"
Auro Digital Inc.,,,,,,,,,
Pixel Compute,,,,,,,,,
ZS Campus Beats,,,,* 2026 | Programe Details :* | Live webinar sessions | Case challenge: April 2025 | Panel interview: May 2025 | Registration link:* https://www.zs.com/careers/campus-beats,,,,,"* https://forms.gle/4Bo3XXJ3pB6Ghz2P8 | Deadline:*  5:00 pm, 7th April 2025 | Note:* | 1. You'll find the registration link under the Live Webinar Sessions with the webinar title ‘Unlock your future at ZS’. | 2. It is Mandatory to fill both the forms. | 3. Registration in this webinar is mandatory for further process. | 4. Every eligible candidate must apply."
Fischer Jordan,,,* 20 KPM (20 hrs per week),"* 2026 | Duration:* 6 months | Deadline:* 26th March 2025, 11:59 PM | Registration link:* https://docs.google.com/forms/d/e/1FAIpQLSfyKrplzUwFC2jo7aQdXVayIkgRKc9EGBtVKfQZpjKDYrvmBQ/viewform?usp=sf_link",* B. Tech,* All,,,* https://forms.gle/oqzbJYgrUWgctEJN7 | Note:* | 1. Candidates should be flexible for full time work hours during summer break. | 2. Full time hours pay is 40 KPM
Pixel Compute,,,,,,,,,
TVS Motor Company,,,"* ₹25,000 per month + One-time to-and-fro travel reimbursement | CTC on PPO Conversion:* ₹ 11 LPA",* 2026,* BTech,"Associate Data Engineer: All | Design Engineer-Mechanical : ME | Design Engineer-Electrical : EE, EC, EI | Eligibility Criteria:* | 10th, 12th >= 60% | CGPA >= 6 | No active backlogs | ⁠PwD only",,,"* https://forms.gle/sFm7AvBpesX9uTcN7 | Application Deadline:* 11:59pm, 27th March 2025 | NOTE:* | ⁠_You can apply for one job role only_"
Pixel Compute,,,,,,,,,
Keventers,,,* 20 KPM,* 2026,* All,* All,,* New Delhi | Selection Procedure:* | *Round 1:* Application by the prospects. | *Round 2:* Shortlisted candidates of Round 1 will be called for auditions in the college premises. Participants will have 60 seconds to present on the topic “Teach us how to Market” and “Why do we choose YOU?” | *Round 3:* Top 3 finalists from each college will be selected to visit Keventers Office for the interview. | *Round 4:* The final selected candidate will be recruited as a part of the Keventers Marketing Team. | Registration Form:* | https://docs.google.com/forms/d/Ee/1FAIpQLSetp1ZMi2Rsd143Tu3iz_rw8RsMyp-9xvV5-T061RqM0YZ7kA/viewform?usp=sharing,"https://forms.gle/KsH7cVmuTUNTHt2R8 | Deadline:* 11:59 PM, 4th April 2025 | Note:*"
Keventers,,,,,,,,,https://forms.gle/KsH7cVmuTUNTHt2R8
Resollect,* I) Front-End Developer | II) Back-End Developer,,* 20KPM,* 2026,"* B. Tech, M. Tech, Dual, Int M. Sc, M. Sc.",* All,,,"* https://forms.gle/UsP2PfE8krnUXn4X7 | Deadline:* 5:00PM;7th April, 2025(Today) | Note:* The first round will be resume shortlisting, so prepared your resume accordingly."
ZS Campus Beats,,,,,,,,,
RAAM Group,,,,,,,,,
"SAIL, Rourkela Steel Plant (RSP)",,,,,,,,,
Quidle Enterprise Pvt. Ltd.,,,,,,,,,
DMP 2025 Open-Source Mentorship Program,,,"* ~₹1,00,000 over 3 months",* All,* All,"* All | Benefits:* | Work on meaningful, open-source tech projects | Get mentored by industry experts | Gain access to internship, PPO, and career opportunities",,,* https://apna.co/contests/dmp_2025 | Registration Link:* https://forms.gle/i1PgxfQCVytfUDPQ8 | Deadline:* 3rd May 2025 | Note:*
Quidle Enterprises,,,,,,,,,
Indian Metals and Ferro Alloys Ltd (IMFA),,,* 10 KPM,* 2026,* B.Tech,"* EE, EI, ME, MM, MN",,"* Choudwar, Therubali | Duration:* 2 Months | Eligibility:* | CGPA >=6 | 10th and 12th Percentage >=50%","* https://forms.gle/GuMq9rfWw6cPo3EX7 | Deadline:* 11:00 AM, 1st May 2025 | Keep the short deadline in mind."
PARIKSIT INCORPORATION INDIA PVT LTD.,,,* 15 KPM,* 2026,"* B.Tech, Dual, Int. MSc,  B. Arch",* All,,"* Shaktinagar, Rourkela | Duration:* 8 weeks | Selection Process:* | 1. Resume Shortlist | 2. Personal Interview","https://forms.gle/L6rKwaitgLsHxaXd8 | Deadline:* 11:59 AM, 2nd May 2025 | Keep the short deadline in mind."
AlgoUniversity,,,,,,,,,
IMFA,,,,,,,,,
Quidle Enterprises Pvt. Ltd.,,,,,,,,,
IMFA,,,,,,,,,
Edge AI Developer Hackathon,,,,,,,,,
Jindal Steel & Power Ltd. (JSPL),,,,,,,,,
People Tech Group,,,* 30 KPM,* 2026,"* B.Tech, M.Tech",1. C++ - ALL | 2. Mechanical Design- ME | 3. Industrial Design - ID | Start Date:* Immediate | Duration:* 2 Months,,* Hyderabad,"* https://forms.gle/i3nqDoothiTX8RaZ7 | Application Deadline:* 3:00 PM, 15th May 2025 | NOTE:*"
IMFA,,,,,,,,,
Google,,,,,,,,,
Shineroad Foods (INDIA) Pvt Ltd,,,* 10-12 KPM,"* 2026 | Duration:* 2 Months | Location*: Sonipat, Harayana",* All(Except PhD),* All,,,"* https://forms.gle/8Ym9nwNT4ZKrgWab9 | Deadline:* 11:59 PM , 19th May 2024 | NOTE :*"
CRED,,,"* INR 75,000 / Month | CTC on PPO Conversion:* Not Disclosed",* 2026,* BTech,* All,,,"* https://forms.gle/Y1WZSKsvWEvA6bVQ6 | Deadline:* 4:00 PM(Today) | Resume shortlisting will be done, prepare your resumes accordingly. | Keep in mind the short deadline."
CRED,,,,,,,,,
People Tech Group,,,,,,,,,
People Tech Group,,,,,,,,,
People Tech Group,,,,,,,,,
Jindal Steel & Power Ltd. (JSPL),,,,,,,,,
